name_2020,name_1998,alternative_name
Xpp77,Cry77,
Xpp76,Cry76,
Xpp55,Cry55,
Xpp37,Cry37,
Xpp22,Cry22,
Vpb4,Vip4,
Vpb1,Vip1,
Vpa2,Vip2,
Vip3,Vip3,
Tpp80,Cry80,
Tpp78,Cry78,
Tpp49,Cry49,
Tpp36,Cry36,
Tpp35,Cry35,
Tpp2,,BinB
Tpp1,,BinA
Spp,,Sphaericolysin
Prb,,PirB
Pra,,PirA
Mtx1,,Mtx1
Mpp75,Cry75,
Mpp74,Cry74,
Mpp64,Cry64,Parasporin 5
Mpp60,Cry60,
Mpp51,Cry51,
Mpp46,Cry46,Parasporin 2
Mpp45,Cry45,Parasporin 4
Mpp38,Cry38,
Mpp33,Cry33,NT40KD
Mpp23,Cry23,
Mpp15,Cry15,34KDa
Mpp5A,,Sip1
Mpp4,,Mtx4
Mpp3,,Mtx3
Mpp2,,Mtx2
Mpf3Aa,,GNIP1Aa
Mpf2,,
Mpf1,,PluMACPF
Mcf1C,,FitD
Mcf1B,,Mcf2
Mcf1A,,Mcf1
Gpp34,Cry34,
Cyt7,,CytD
Cyt6,,CytC
Cyt5,,CytB
Cyt4,,CytA
Cyt3,Cyt3,
Cyt2,Cyt2,CytB
Cyt1,Cyt1,CytA
Cry79,Cry79,
Cry73,Cry73,
Cry72,Cry72,
Cry71,Cry71,
Cry70,Cry70,
Cry69,Cry69,
Cry68,Cry68,
Cry67,Cry67,
Cry66,Cry66,
Cry65,Cry65,
Cry63,Cry63,Parasporin 6
Cry62,Cry62,
Cry61,Cry61,
Cry59,Cry59,
Cry58,Cry58,
Cry57,Cry57,
Cry56,Cry56,
Cry54,Cry54,
Cry53,Cry53,
Cry52,Cry52,
Cry50,Cry50,
Cry48,Cry48,
Cry47,Cry47,
Cry44,Cry44,
Cry43,Cry43,
Cry42,Cry42,
Cry41,Cry41,Parasporin 3
Cry40,Cry40,
Cry39,Cry39,
Cry32,Cry32,
Cry31,Cry31,Parasporin 1
Cry30,Cry30,
Cry29,Cry29,
Cry28,Cry28,
Cry27,Cry27,
Cry26,Cry26,
Cry25,Cry25,
Cry24,Cry24,
Cry21,Cry21,
Cry20,Cry20,
Cry19,Cry19,
Cry18,Cry18,
Cry17,Cry17,Cbm72
Cry16,Cry16,Cbm71
Cry14,Cry14,
Cry13,Cry13,
Cry12,Cry12,
Cry11A,Cry11A,CryIVD
Cry10A,Cry10A,CryIVC
Cry9,Cry9,
Cry8,Cry8,
Cry7,Cry7,
Cry5Ab,Cry5Ab,CryVA(b)
Cry5Aa,Cry5Aa,CryVA(a)
Cry4Ba,Cry4Ba,CryIVB
Cry4Aa,Cry4Aa,CryIVA
Cry3Aa,Cry3Aa,CryIIIA
Cry2Ab,Cry2Ab,CryIIB
Cry2Aa,Cry2Aa,CryIIA
Cry1Aa,Cry1Aa,CryIA(a)
App6B,Cry6B,CryVIB
App6A,Cry6A,CryVIA
App3A,,YaxB
App2B,,XaxB
App2A,,PaxB
App1C,,YaxA
App1B,,XaxA
App1A,,PaxA
