name_1998,name_2020,alternative_name
,Tpp2,BinB
,Tpp1,BinA
,Spp,Sphaericolysin
,Prb,PirB
,Pra,PirA
,Mtx1,Mtx1
,Mpp5A,Sip1
,Mpp4,Mtx4
,Mpp3,Mtx3
,Mpp2,Mtx2
,Mpf3Aa,GNIP1Aa
,Mpf2,
,Mpf1,PluMACPF
,Mcf1C,FitD
,Mcf1B,Mcf2
,Mcf1A,Mcf1
,Cyt7,CytD
,Cyt6,CytC
,Cyt5,CytB
,Cyt4,CytA
,App3A,YaxB
,App2B,XaxB
,App2A,PaxB
,App1C,YaxA
,App1B,XaxA
,App1A,PaxA
Vip4,Vpb4,
Vip3,Vip3,
Vip2,Vpa2,
Vip1,Vpb1,
Cyt3,Cyt3,
Cyt2,Cyt2,CytB
Cyt1,Cyt1,CytA
Cry80,Tpp80,
Cry79,Cry79,
Cry78,Tpp78,
Cry77,Xpp77,
Cry76,Xpp76,
Cry75,Mpp75,
Cry74,Mpp74,
Cry73,Cry73,
Cry72,Cry72,
Cry71,Cry71,
Cry70,Cry70,
Cry69,Cry69,
Cry68,Cry68,
Cry67,Cry67,
Cry66,Cry66,
Cry65,Cry65,
Cry64,Mpp64,Parasporin 5
Cry63,Cry63,Parasporin 6
Cry62,Cry62,
Cry61,Cry61,
Cry60,Mpp60,
Cry59,Cry59,
Cry58,Cry58,
Cry57,Cry57,
Cry56,Cry56,
Cry55,Xpp55,
Cry54,Cry54,
Cry53,Cry53,
Cry52,Cry52,
Cry51,Mpp51,
Cry50,Cry50,
Cry49,Tpp49,
Cry48,Cry48,
Cry47,Cry47,
Cry46,Mpp46,Parasporin 2
Cry45,Mpp45,Parasporin 4
Cry44,Cry44,
Cry43,Cry43,
Cry42,Cry42,
Cry41,Cry41,Parasporin 3
Cry40,Cry40,
Cry39,Cry39,
Cry38,Mpp38,
Cry37,Xpp37,
Cry36,Tpp36,
Cry35,Tpp35,
Cry34,Gpp34,
Cry33,Mpp33,NT40KD
Cry32,Cry32,
Cry31,Cry31,Parasporin 1
Cry30,Cry30,
Cry29,Cry29,
Cry28,Cry28,
Cry27,Cry27,
Cry26,Cry26,
Cry25,Cry25,
Cry24,Cry24,
Cry23,Mpp23,
Cry22,Xpp22,
Cry21,Cry21,
Cry20,Cry20,
Cry19,Cry19,
Cry18,Cry18,
Cry17,Cry17,Cbm72
Cry16,Cry16,Cbm71
Cry15,Mpp15,34KDa
Cry14,Cry14,
Cry13,Cry13,
Cry12,Cry12,
Cry11A,Cry11A,CryIVD
Cry10A,Cry10A,CryIVC
Cry9,Cry9,
Cry8,Cry8,
Cry7,Cry7,
Cry6B,App6B,CryVIB
Cry6A,App6A,CryVIA
Cry5Ab,Cry5Ab,CryVA(b)
Cry5Aa,Cry5Aa,CryVA(a)
Cry4Ba,Cry4Ba,CryIVB
Cry4Aa,Cry4Aa,CryIVA
Cry3Aa,Cry3Aa,CryIIIA
Cry2Ab,Cry2Ab,CryIIB
Cry2Aa,Cry2Aa,CryIIA
Cry1Aa,Cry1Aa,CryIA(a)
